,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
850,889.0,168.0,3.0,2.0,10348.39,11.0,Uncertain,2,srebro
851,890.0,77.0,5.0,8.0,1588.25,7.0,Potential Loyalist,2,srebro
852,891.0,189.0,17.0,5.0,1307.49,5.0,Needs Attention,2,srebro
853,892.0,72.0,11.0,2.0,1231.36,4.0,About To Sleep,0,brąz
854,893.0,39.0,13.0,2.0,1208.82,4.0,About To Sleep,0,brąz
855,894.0,636.0,4.0,21.0,21218.35,30.0,Champion,1,złoto
856,895.0,1070.0,48.0,4.0,110996.1,39.0,At Risk,2,srebro
857,896.0,130.0,4.0,4.0,1805.7,7.0,Potential Loyalist,2,srebro
858,897.0,762.0,5.0,18.0,27480.2,33.0,Champion,1,złoto
859,898.0,309.0,7.0,9.0,26561.31,26.0,Loyal Custome,1,złoto
860,899.0,430.0,3.0,14.0,9691.09,12.0,Champion,1,złoto
861,900.0,160.0,2.0,12.0,1826.9,4.0,Uncertain,1,złoto
862,901.0,407.0,3.0,8.0,18689.3,19.0,Loyal Custome,1,złoto
863,902.0,113.0,33.0,7.0,2853.13,8.0,At Risk,2,srebro
864,904.0,8.0,39.0,1.0,58.58,1.0,Hibernating,0,brąz
865,905.0,137.0,5.0,7.0,6971.09,14.0,Loyal Custome,2,srebro
866,907.0,682.0,5.0,14.0,28299.73,29.0,Champion,1,złoto
867,908.0,68.0,3.0,4.0,1765.06,9.0,Potential Loyalist,2,srebro
868,909.0,1106.0,7.0,20.0,76640.95,55.0,Loyal Custome,1,złoto
869,910.0,242.0,7.0,16.0,3942.26,13.0,Loyal Custome,2,srebro
870,911.0,402.0,4.0,37.0,10581.29,14.0,Champion,1,złoto
871,912.0,82.0,41.0,3.0,2460.26,5.0,Hibernating,0,brąz
872,913.0,180.0,63.0,1.0,3196.5,2.0,Hibernating,0,brąz
873,914.0,310.0,6.0,16.0,8161.62,11.0,Loyal Custome,1,złoto
874,915.0,158.0,46.0,4.0,1697.56,4.0,At Risk,0,brąz
